,original_amount,revised_amount,year,GDP_growth,inflation,manufacturing_value_added,official_exchange_rate,ENT  (ENTERTAIN),GENERAL,GS   (GEN SERV),HUD (GEN SERV-HUD),INS  (INSTRUCTOR),IT/TECH,LS   (LEASE SVCS),LW   (DON'T USE),PRO  (PRO SERVIC),RISK - HR / INS,RNT  (EQUIP RENT)
5935,4000.0,3272.36,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,1,0,0,0,0,0,0,0,0
5936,5400.0,10800.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5937,29036.7076614092,27920.1877013685,2014,2.9453848312678,2.44258329692818,11.348073930706,1,0,0,0,0,0,0,0,0,0,0,0
5938,49565.0,43865.03,2013,2.29443907769311,1.81221007526015,11.0580367745651,1,0,0,0,0,0,0,0,0,1,0,0
5939,39645.0,39645.0,2017,2.70636958176399,0.118627135552435,11.6623134302954,1,0,0,0,0,0,0,0,0,0,0,0
5940,6750.0,6750.0,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,1,0,0,0,0,0,0,0,0
5941,15900.0,15900.0,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,1,0,0,0,0,0,0,0,0
5942,2450.0,2450.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5943,60000.0,120000.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5944,7392.0,7392.0,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,1,0,0,0,0,0,0,0,0
5945,73000.0,89500.0,2018,2.28777593255359,1.62222297740821,11.6554754899495,1,0,0,0,0,0,0,0,0,1,0,0
5946,538571.78,538571.78,2012,-2.76780251140578,1.23358439630637,10.6290647168458,1,0,0,0,0,0,0,0,0,0,0,0
5947,5000.0,5000.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5948,1300.0,1300.0,2010,2.06159311851432,8.00279982052117,10.70037081,1,0,0,1,0,0,0,0,0,0,0,0
5949,7500.0,7500.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5950,251768.504096003,678238.962592455,2022,2.70885669419681,1.64004344238989,11.9060850975322,1,0,0,1,0,0,0,0,0,0,0,0
5951,21000.0,21000.0,2015,2.24192121597748,2.13011000365963,11.2588564739494,1,0,0,1,0,0,0,0,0,0,0,0
5952,264477.390273838,285138.560658284,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,0,0,0,0,0,0,0,0,0
5953,7500.0,7500.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5954,54412.0,51953.0,2020,2.28068760319185,2.06933726526059,11.8575606302731,1,0,0,0,1,0,0,0,0,0,0,0
5955,1875.0,0.0,2021,1.54989495017045,3.15684156862206,11.9472468321556,1,0,0,1,0,0,0,0,0,0,0,0
5956,5913.03232931455,5778.11810207509,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,1,0,0,0,0,0,0,0,0
5957,26554.17,24840.7,2019,1.84187539518688,1.46483265562714,11.7981164603897,1,0,0,1,0,0,0,0,0,0,0,0
